ART,X100,"Crafts I, Lower",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X150,"Metals I, Lower",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X201,"Design I, Lower",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X202,"Design II, Lower (2-D)",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X203,"Design III, Lower (3-D)",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X205,"Color and Composition, Lower",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X300,"Drawing I, Lower",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X301,Drawing II,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X302,"Drawing III, Lower",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X310,"Drawing I, Upper",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X330,"Life Drawing I, Lower",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X332,"Figure Drawing I, Upper",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X340,Drawing Techniques,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X400,"Printmaking I, Lower",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X401,Printmaking II,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X500,"Painting I, Lower",0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X501,Painting II,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X600,Introduction to Electronic Media,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
ART,X602,Digital Imaging,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X701,Sculpture I,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X702,Sculpture II,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X710,Advanced Sculpture,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X750,Ceramics I,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X751,Ceramics II,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X752,Wheel Throwing I,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X753,Wheel Throwing II,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X759,Ceramic Studio I,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X760,Ceramics I,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X802,Art Workshop: Research and Practice,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X823,Art as Interface,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ASC,X000,Introduction to Aviation,0.5,EL,,Electives
ASC,X562,Unmanned Aircraft Systems Op and Cross-Country Data Entry,0.5,EL,,Electives
ASL,X110,American Sign Language I (L),1,EL,,World Languages
ASL,X120,American Sign Language II (L),1,EL,,World Languages
ASL,X130,American Sign Language III (L),1,EL,,World Languages
ASL,X131,American Sign Language III (U),0.5,EL,,World Languages
ASL,X140,Basic American Sign Language,1,EL,,World Languages
ASL,X150,Intermediate American Sign Language,1,EL,,World Languages
ASL,X160,American Sign Language III (L),1,EL,,World Languages
ASL,X161,American Sign Language III (U),1,EL,,World Languages
ASL,X200,American Sign Language IV (L),1,EL,,World Languages
ASL,X201,American Sign Language IV (4 hours),1,EL,,World Languages
ASL,X210,American Sign Language IV (L),0.5,EL,,World Languages
ASL,X211,American Sign Language IV (U) (3 hours),0.5,EL,,World Languages
ASL,X510,Introduction to Deaf Culture,0.5,EL,,Electives
AST,X002,Descriptive Astronomy (GE Core),0.5,EQ,Natural Science,Science
AST,X002/L,Descriptive Astronomy (GE Core),1,EQ,Natural Science,Science
AST,X002C,Descriptive Astronomy (GE Core),1,EQ,Natural Science,Science
AST,X003,Descriptive Astronomy of Solar System,0.5,EQ,,Science
AST,X003/L,Descriptive Astronomy of Solar System,1,EQ,,Science
AST,X003C,Descriptive Astronomy of Solar System,1,EQ,,Science
AST,X004,Descriptive Stellar Astronomy,0.5,EQ,,Science
AST,X004/L,Descriptive Stellar Astronomy,1,EQ,,Science
AST,X004C,Descriptive Stellar Astronomy,1,EQ,,Science
AST,X005,Introduction to Astrobiology,0.5,EQ,,Science
AST,X005C,Introduction to Astrobiology,1,EQ,,Science
AST,X100,Solar System Astronomy,0.5,EQ,,Science
AST,X100C,Solar System Astronomy,1,EQ,,Science
ATF,X103,Private Pilot Operations,0.5,EL,,Electives
BCV,080L,Building Construction Assistant,1.5,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
BCV,X080,Building Construction Assistant,3,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
BCV,X081,Carpentry and Masonry Technician OCP B (150 hours),1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
BCV,X082,Electrical and Plumbing Technician OCP C (150 hours),1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
BCV,X083,A/C and Painting Technician,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
BCV,X107,Carpenter Helper OCP A (300 hours),2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
BOT,X000,Plant Science,0.5,EQ,,Science
BOT,X010,Introductory Botany,0.5,EQ,,Science
BOT,X010/L,Introductory Botany,1,EQ,,Science
BOT,X010C,Introductory Botany,1,EQ,,Science
BOT,X011,Botany,0.5,EQ,,Science
BOT,X011/L,Botany,1,EQ,,Science
BOT,X011C,Botany,1,EQ,,Science
BOT,X015,Plant Biology- Upper Level,0.5,EQ,,Science
BOT,X015/L,Plant Biology- Upper Level,1,EQ,,Science
,,,,,,,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
BOT,X015C,Plant Biology- Upper Level,,,,,,,1,EQ,,Science
BSC,011/L,General Biology (Cont.),,,,,,,1,DD,,Science
BSC,011C,General Biology (Cont.),,,,,,,1,DD,,Science
BSC,023/L,Human Biology: Disorders,,,,,,,1,EQ,,Science
BSC,X001,Orientation to Biology,,,,,,,0.5,EQ,,Science
BSC,X005,General Biology (GE Core),,,,,,,0.5,EQ,Natural Science,Science
BSC,X005/L,General Biology (GE Core),,,,,,,1,DD,Natural Science,Science
BSC,X005C,General Biology (GE Core),,,,,,,1,DD,Natural Science,Science
BSC,X007,"Bio Sci I: Cells, Organisms & Genetics",,,,,,,0.5,EQ,,Science
BSC,X007/L,"Bio Sci I: Cells, Organisms & Genetics",,,,,,,1,DD,,Science
BSC,X007C,"Bio Sci I: Cells, Organisms & Genetics",,,,,,,1,DD,,Science
BSC,X009,Introduction to Biology,,,,,,,0.5,DD,,Science
BSC,X009/L,Introduction to Biology,,,,,,,1,DD,,Science
BSC,X009C,Introduction to Biology,,,,,,,1,DD,,Science
BSC,X010,General Biology (GE Core),,,,,,,0.5,EQ,Natural Science,Science
BSC,X010/L,General Biology (GE Core),,,,,,,1,DD,Natural Science,Science
BSC,X010C,General Biology (GE Core),,,,,,,1,DD,Natural Science,Science
BSC,X011,General Biology (Cont.),,,,,,,0.5,EQ,,Science
BSC,X020,Human Biology,,,,,,,0.5,EQ,,Science
BSC,X020/L,Human Biology,,,,,,,1,DD,,Science
BSC,X020C,Human Biology,,,,,,,1,DD,,Science
BSC,X023,Human Biology: Disorders,,,,,,,0.5,EQ,,Science
BSC,X025,Nutrition and Drugs,,,,,,,0.5,EQ,,Science
BSC,X033,Issues in Biology,,,,,,,0.5,EQ,,Science
BSC,X040C,Honors Biology I,,,,,,,1,EQ,,Science
BSC,X050,Man & Environment,,,,,,,0.5,EQ,,Science
BSC,X050C,Man & Environment,,,,,,,1,EQ,,Science
BSC,X051C,Specialized Environmental Biology,,,,,,,1,EQ,,Science
BSC,X080,Anatomy & Physiology (1 Sem.) (Non-Hs Maj) No Prereq,,,,,,,0.5,EQ,,Science
BSC,X080/L,Anatomy & Physiology (1 Sem.) Non-Hs Maj.) No Prereq,,,,,,,1,EQ,,Science
BSC,X083,Human Anatomy,,,,,,,0.5,EQ,,Science
BSC,X083/L,Human Anatomy,,,,,,,1,EQ,,Science
BSC,X084,Human,Anat,&,Phys,(HS,Majors/1,sem/No,Prereq),0.5,EQ,Science
BSC,X084/L,Human,Anat,&,Phys,(HS,Majors/1,sem/No,Prereq),1,EQ,Science
BSC,X084C,Human,Anat,&,Phys,(HS,Majors/1,sem/No Prereq),1,EQ,,Science
BSC,X085,Anatomy & Physiology I (GE Core),,,,,,,0.5,EQ,Natural Science,Science
BSC,X085/L,Anatomy & Physiology I (GE Core),,,,,,,1,DD,Natural Science,Science
BSC,X085C,Anatomy & Physiology I (GE Core),,,,,,,1,DD,Natural Science,Science
BSC,X086,Anatomy & Physiology (2 of 2) (HS Maj.),,,,,No,Prereq,0.5,EQ,,Science
BSC,X086/L,Anatomy & Physiology (2 of 2) (HS Maj.),,,,,No,Prereq,1,EQ,,Science
BSC,X086C,Anatomy & Physiology (2 of 2) (HS Maj.),,,,,No Prereq,,1,EQ,,Science
BSC,X092,Anatomy & Physiology (1 Sem) (HS Maj.) With,,,,,,Prereq,0.5,EQ,,Science
BSC,X092/L,Anatomy & Physiology (1 Sem) (HS Maj.) With Prereq,,,,,,,1,EQ,,Science
BSC,X093,Anatomy & Physiology (1 of 2) (HS Maj.) With Prereq,,,,,,,0.5,EQ,,Science
BSC,X093/L,Anatomy & Physiology (1 of 2) (HS Maj.) With,,,,,,Prereq,1,EQ,,Science
BSC,X093C,Anatomy & Physiology (1 of 2) (HS Maj.) With Prereq,,,,,,,1,EQ,,Science
BSC,X094,Anatomy & Physiology (2 of 2) (HS Maj.) With,,,,,,Prereq,0.5,EQ,,Science
BSC,X094/L,Anatomy & Physiology (2 of 2) (HS Maj.) With,,,,,,Prereq,1,EQ,,Science
BSC,X094C,Anatomy & Physiology (2 of 2) (HS Maj.) With Prereq,,,,,,,1,EQ,,Science
BSC,X250,Flora & Fauna of Florida,,,,,,,0.5,EQ,,Science
BSC,X250C,Flora & Fauna of Florida,,,,,,,1,EQ,,Science
BSC,X311,Introduction to Marine Biology,,,,,,,0.5,EQ,,Science
BSC,X311/L,Introduction to Marine Biology,,,,,,,1,EQ,,Science
BSC,X311C,Introduction to Marine Biology,,,,,,,1,EQ,,Science
BSC,X312,Marine Biology (Broad Concepts),,,,,,,0.5,EQ,,Science
BSC,X312C,Marine Biology (Broad Concepts),,,,,,,1,EQ,,Science
,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
BSC,X420,Biotechnology,0.5,EQ,,Science
BSC,X420/L,Biotechnology,1,EQ,,Science
BSC,X420C,Biotechnology,1,EQ,,Science
BSC,X421,Biotechnology in Industry,0.5,EQ,,Science
BSC,X421/L,Biotechnology in Industry,1,EQ,,Science
BSC,X421C,Biotechnology in Industry,1,EQ,,Science
BSC,X427,Biotechnology Methods II,0.5,EQ,,Science
BSC,X427/L,Biotechnology Methods II,1,EQ,,Science
BSC,X427C,Biotechnology Methods II,1,EQ,,Science
BSSC,X026,Intro Human Repro and Development,0.5,EQ,,Science
BUL,X241,Traditional Business Law,0.5,EL,,Electives
CCJ,X010,Introduction to Criminology,0.5,EL,,Electives
CGS,X000,Computer Literacy: Business,0.5,EL,,Electives
CGS,X060,Computer Literacy,0.5,EL,,Electives
CGS,X100,Applications for Business,0.5,EL,,Electives
CHI,X100,Elementary Chinese I,0.5,EL,,World Languages
CHI,X120,"Elementary Chinese I, Concentrated",1,EL,,World Languages
CHI,X121,"Elementary Chinese II, Concentrated",1,EL,,World Languages
CHI,X130,Elementary Chinese Accelerated I,1,EL,,World Languages
CHI,X131,Elementary Chinese Accelerated II,1,EL,,World Languages
CHI,X200,Intermediate Chinese I,0.5,EL,,World Languages
CHI,X201,Intermediate Chinese II,0.5,EL,,World Languages
CHI,X220,Second Year Chinese Conversation,1,EL,,World Languages
CHI,X221,Second Year Chinese Conversation,1,EL,,World Languages
CHI,X230,Intermediate Chinese I (5 Credit Hours),1,EL,,World Languages
CHI,X231,Intermediate Chinese II (5 Credit Hours),1,EL,,World Languages
CHM,025C,Introduction to General Chemistry,1,EQ,,Science
CHM,X020,Chemistry for Liberal Studies I (GE Core),0.5,EQ,Natural Science,Science
CHM,X020/L,Chemistry for Liberal Studies I (GE Core),1,EQ,Natural Science,Science
CHM,X020C,Chemistry for Liberal Studies I (GE Core),1,EQ,Natural Science,Science
CHM,X023,General Chemistry II,0.5,EQ,,Science
CHM,X025,Introduction to General Chemistry,0.5,EQ,,Science
CHM,X025/L,Introduction to General Chemistry,1,EQ,,Science
CHM,X030,Sci Allied Fields-Gen/Org/Biochm (1 of 2),0.5,EQ,,Science
CHM,X030/L,Sci Allied Fields-Gen/Org/Biochm (1 pf 2),1,EQ,,Science
CHM,X031,Sci Allied Fields-Gen/Org/Biochm (2 of 2),0.5,EQ,,Science
CHM,X031/L,Sci Allied Fields-Gen/Org/Biochm (2 of 2),1,EQ,,Science
CHM,X031C,Sci Allied Fields-Gen/Org/Biochm (2 of 2),1,EQ,,Science
CHM,X032,Gen Chem Sci Allied Fields (One Semester),0.5,EQ,,Science
CHM,X032/L,Gen Chem Sci Allied Fields (One Semester),1,EQ,,Science
CHM,X032C,Gen Chem Sci Allied Fields (One Semester),1,EQ,,Science
CHM,X033,Sci Allied Fields-Gen/Org/Biochm (1 Sem),0.5,EQ,,Science
CHM,X033/L,Sci Allied Fields-Gen/Org/Biochm (1 Sem),1,EQ,,Science
CHM,X033C,Sci Allied Fields-Gen/Org/Biochm (1 Sem),1,EQ,,Science
CHM,X040,General Chem (Expanded Sequence: 1 of 3),0.5,EQ,,Science
CHM,X040/L,General Chem (Expanded Sequence: 1 of 3),1,EQ,,Science
CHM,X041,General Chem (Expanded Sequence: 2 of 3),0.5,EQ,,Science
CHM,X045,General Chemistry (1 of 2) (GE Core),0.5,EQ,Natural Science,Science
CHM,X045/L,General Chemistry (1 of 2) (GE Core),1,EQ,Natural Science,Science
CHM,X045C,General Chemistry (1 of 2) (GE Core),1,EQ,Natural Science,Science
CHM,X046,General Chemistry II (Last Course in Sequence),0.5,EQ,,Science
CHM,X046/L,General Chemistry II (Last Course in Sequence),1,EQ,,Science
CHM,X046C,General Chemistry II (Last Course in Sequence),1,EQ,,Science
CHM,X083,Consumer Chemistry,0.5,EQ,,Science
CHM,X084,Environmental Chemistry,0.5,EQ,,Science
CHM,X084/L,Environmental Chemistry,1,EQ,,Science
,,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
CHM,X084C,Environmental Chemistry,,1,EQ,,Science
CHM,X120,Quantitative Analysis,,0.5,EQ,,Science
CHM,X120/L,Quantitative Analysis,,1,EQ,,Science
CHM,X120C,Quantitative Analysis,,1,EQ,,Science
CHM,X200,Brief Organic Chemistry,,0.5,EQ,,Science
CHM,X200/L,Brief Organic Chemistry,,1,EQ,,Science
CHM,X205,Survey of Organic/Bio Chemistry,,0.5,EQ,,Science
CHM,X205/L,Survey of Organic/Bio Chemistry,,1,EQ,,Science
CHM,X205C,Survey of Organic/Bio Chemistry,,1,EQ,,Science
CHM,X210,Organic Chemistry,,0.5,EQ,,Science
CHM,X210/L,Organic Chemistry,,1,EQ,,Science
CHM,X210C,Organic Chemistry,,1,EQ,,Science
CHM,X211,Organic Chemistry (Cont.),,0.5,EQ,,Science
CHM,X211/L,Organic Chemistry (Cont.),,1,EQ,,Science
CHM,X211C,Organic Chemistry (Cont.),,1,EQ,,Science
CLP,X001,Elementary Adjustment (L),,0.5,EL,,Electives
CLP,X006,Psychology of Personal Effectiveness,,0.5,EL,,Electives
CLP,X140,Basic Psychopathology,,0.5,EL,,Electives
CRW,X001,Creative Writing I,,0.5,EL,,Electives
CTS,X017,Cybersecurity Associate IV,,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
CTS,X049,Web Scripting,,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
CTS,X070,Web Design Foundations,,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
CTS,X071,Web Interface Design,,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
CTS,X073,Web Development Fundamentals,,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X000,Survey of More Than One Type of Dance-Many Genres (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X100,Contemporary/Modern Dance I for Non-Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X101,Contemporary/Modern Dance II for Non-Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X104,Contemporary/Modern Dance I for Majors,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X105,Contemporary/Modern Dace II For Majors,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X108,Contemporary/Modern Dance V for Majors (U),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X200,Ballet,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X201,Ballet II for Non-Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X204,Ballet I for Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X205,Ballet II for Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X206,Ballet III for Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X207,Ballet IV for Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X290,Special Studies in Ballet (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X500,Jazz Dance I for Non-Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X504,Jazz Dance I for Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X505,Jazz Dance II for Majors (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X570,Musical Theatre Jazz (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X610,"Dance Composition/Choreography, May Include Improvisation (L)",,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAA,X611,"Dance Composition/Choreography, May Include",Improvisation (L),0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAN,X100,Appreciation/Survey of Dance (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAN,X120,History and Philosophy of Dance (Single Course) (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAN,X130,History and Philosophy of Dance (Two Course Sequence),(L),0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAN,X600,Music and Dance (Single Course) (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DAN,X631,Music and Dance (Four Course Sequence) (L),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DEP,X000,Basic Developmental Psychology/Non-Major (L),,0.5,EL,,Electives
DEP,X004,Principles of Development. Psy/Life Span,,0.5,EL,,Electives
DIG,X060,3-D Animation Production Assistant,,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DIG,X061,Modeler,,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DIG,X062,Texture Artist/Rigger,,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DIG,X063,Animation/Motion Capture Technician,,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DIG,X070,Game/Simulation Designer,,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DIG,X071,Game/Simulation Graphic Artist,,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,,
DIG,X072,Game/Simulation 3D Animator,1,CT,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DIG,X073,Digital Media Artist,1,CT,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DIG,X074,Digital Media Specialist,1,CT,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DIG,X081,Theory and Foundations of Design,1,CT,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
DIG,X115,Digital Imaging,0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ECO,X000,Survey of Economics,0.5,EC,,,Social Studies
ECO,X013,Principles of Economics Macro (GE Core),0.5,EC,Social Sciences,,Social Studies
ECO,X023,Prin of Economics Micro,0.5,EC,,,Social Studies
EDF,X005,Introduction to the Teaching Profession,0.5,EL,,,Electives
EDF,X085,Introduction to Diversity for Educators,0.5,EL,,,Electives
ENC,X101,Freshman Composition Skills I (GE Core),1,EN,Communication,,English
ENC,X102,Freshman Composition Skills II,1,EN,,,English
ENC,X107,Advanced College Writing,1,EN,,,English
ENC,X122,Freshman Composition II: Honors,1,EN,,,English
